,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
1787,17153382,idolize,,aɪdɤlʲaɪz,aɪdəlaɪz,declarative,eng,-2147483648,1,2,Inkelas,,CHI,E,Target_Child,E,45.920860797962995,male,,,,Eng-NA,21,332,23438,23438,42433
1788,17153383,color,,kʌwə,kʌləɹ,declarative,eng,-2147483648,1,11,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1789,17153385,fruit,,flʲuʷt,fɹuːt,declarative,eng,-2147483648,1,4,Inkelas,,CHI,E,Target_Child,E,45.85515102979527,male,,,,Eng-NA,21,332,23438,23438,42434
1790,17153386,elephant,,ɛwəfənt,ɛləfənt,declarative,eng,-2147483648,1,2,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1791,17153388,totlot,,tɑtjɑt,tɑt lɑt,declarative,eng,-2147483648,1,13,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1792,17153390,Saturn,,sætʌɹən,sætəɹn,declarative,eng,-2147483648,1,6,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1793,17153391,yellow,,lʲɛlʲow,jɛloʊ,declarative,eng,-2147483648,1,4,Inkelas,,CHI,E,Target_Child,E,41.59222981991417,male,,,,Eng-NA,21,332,23438,23438,42431
1794,17153393,fruit,,fʷuʷt,fɹuːt,declarative,eng,-2147483648,1,5,Inkelas,,CHI,E,Target_Child,E,45.85515102979527,male,,,,Eng-NA,21,332,23438,23438,42434
1795,17153394,love light,,wʌv waɪt,lʌv laɪt,declarative,eng,-2147483648,2,3,Inkelas,,CHI,E,Target_Child,E,45.920860797962995,male,,,,Eng-NA,21,332,23438,23438,42433
1796,17153395,I wanted it in my room I'm talking,,ɑɪ wɑntʰəd ɪt ɪn mɑɪ ɹum ɑɪm tɑːkɪŋ,aɪ wɑntəd ɪt ɪn maɪ ɹuːm aɪm tɑkɪŋ,declarative,eng,-2147483648,8,35,Inkelas,,CHI,E,Target_Child,E,26.263372964537258,male,,,,Eng-NA,21,332,23438,23438,42402
1797,17153396,washcloth,,waʃkwɑf,wɑʃklɑθ,declarative,eng,-2147483648,1,12,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1798,17153398,jingling,,ʤɪŋɡəwɪŋ,ʤɪŋɡəlɪŋ,declarative,eng,-2147483648,1,14,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1799,17153401,lion,,lʲajən,laɪən,declarative,eng,-2147483648,1,3,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1800,17153402,legs,,wɛɡ̥s,lɛɡz,declarative,eng,-2147483648,1,7,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1801,17153406,elephant,,ɛwəfɨnt,ɛləfənt,declarative,eng,-2147483648,1,13,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1802,17153407,hopalong,,hɑpəjɒŋ,hɑpəlɑŋ,declarative,eng,-2147483648,1,15,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1803,17153408,I got too many and it itched my shoulder,,,,declarative,eng,-2147483648,9,8,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1804,17153410,giraffe,,ʤəwæf,ʤəɹæf,declarative,eng,-2147483648,1,4,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1805,17153413,love light,,lʌv laɪt,lʌv laɪt,declarative,eng,-2147483648,2,4,Inkelas,,CHI,E,Target_Child,E,45.920860797962995,male,,,,Eng-NA,21,332,23438,23438,42433
1806,17153415,good,,dʊd,ɡʊd,declarative,eng,-2147483648,1,36,Inkelas,,CHI,E,Target_Child,E,26.263372964537258,male,,,,Eng-NA,21,332,23438,23438,42402
1807,17153416,fierce,,fijɤs,fɪɹs,declarative,eng,-2147483648,1,5,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1808,17153417,juggling,,ʤʌɡəwɪŋ,ʤʌɡəlɪŋ,declarative,eng,-2147483648,1,16,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1809,17153419,a light,,ə wɑɪt,ə laɪt,declarative,eng,-2147483648,2,14,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1810,17153421,camel,,kæmɔɤ,kæməl,declarative,eng,-2147483648,1,6,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1811,17153422,I'm clean,,ɑɪm ʧiɪn,aɪm kliːn,declarative,eng,-2147483648,2,37,Inkelas,,CHI,E,Target_Child,E,26.263372964537258,male,,,,Eng-NA,21,332,23438,23438,42402
1812,17153425,quickly,,kwɪkwiː,kwɪkliː,declarative,eng,-2147483648,1,17,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1813,17153426,Eli,,ijwɑɪ,iːlaɪ,declarative,eng,-2147483648,1,9,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1814,17153429,glasses,,ɡlʲæsɨz,ɡlæsəz,declarative,eng,-2147483648,1,15,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1815,17153430,snake,,sneɪk,sneɪk,declarative,eng,-2147483648,1,7,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1816,17153432,I like it,,ɑɪ wɑɪk ɪt,aɪ laɪk ɪt,declarative,eng,-2147483648,3,10,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1817,17153433,alphabetically,,æʊfəbɛtɪkwi,ælfəbɛtɪkliː,declarative,eng,-2147483648,1,5,Inkelas,,CHI,E,Target_Child,E,45.920860797962995,male,,,,Eng-NA,21,332,23438,23438,42433
1818,17153435,Legos,,lʲɛɡoʷz,lɛɡoʊz,declarative,eng,-2147483648,1,16,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1819,17153438,I need more space,,ɑɪ niː mɔ sfeɪs,aɪ niːd mɔɹ speɪs,declarative,eng,-2147483648,4,38,Inkelas,,CHI,E,Target_Child,E,26.263372964537258,male,,,,Eng-NA,21,332,23438,23438,42402
1820,17153439,Mona Lulu,,moʊnə juːjuː,moʊnə luːluː,declarative,eng,-2147483648,2,18,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1821,17153440,Stellaluna,,stɛw.wuʷnə,stɛləluːnə,declarative,eng,-2147483648,1,11,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1822,17153442,Halloween,,hæwəwijn,hæləwiːn,declarative,eng,-2147483648,1,6,Inkelas,,CHI,E,Target_Child,E,45.920860797962995,male,,,,Eng-NA,21,332,23438,23438,42433
1823,17153444,frog,,fwɔɡ,fɹɑɡ,declarative,eng,-2147483648,1,8,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1824,17153445,Eli,,ijwɑɪ,iːlaɪ,declarative,eng,-2147483648,1,17,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1825,17153446,violin,,vaɪəjɪn,vaɪəlɪn,declarative,eng,-2147483648,1,19,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1826,17153450,Mommy snipped it,,mɑmi sɪpt ɪt,mɑmiː snɪpt ɪt,declarative,eng,-2147483648,3,39,Inkelas,,CHI,E,Target_Child,E,26.263372964537258,male,,,,Eng-NA,21,332,23438,23438,42402
1827,17153451,lizards drinking,,wɪzəɹdz dwɪŋkɪn,lɪzəɹdz dɹɪŋkɪŋ,declarative,eng,-2147483648,2,12,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1828,17153453,Halloween,,hæləwijn,hæləwiːn,declarative,eng,-2147483648,1,7,Inkelas,,CHI,E,Target_Child,E,45.920860797962995,male,,,,Eng-NA,21,332,23438,23438,42433
1829,17153454,too slimy,,tuʷ swaɪmi,tuː slaɪmiː,declarative,eng,-2147483648,2,9,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1830,17153455,valley,,væwiː,væliː,declarative,eng,-2147483648,1,20,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1831,17153456,slippers,,slʲɪpəz,slɪpəɹz,declarative,eng,-2147483648,1,18,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1832,17153459,Madeline,,mædəwaɪn,mædəlaɪn,declarative,eng,-2147483648,1,21,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1833,17153460,split splat,,spwɪˀ spuæˀt,splɪt splæt,declarative,eng,-2147483648,2,13,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1834,17153462,too slimy,,tuʷ swaɪmi,tuː slaɪmiː,declarative,eng,-2147483648,2,10,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1835,17153463,alone,,awoʊn,əloʊn,declarative,eng,-2147483648,1,8,Inkelas,,CHI,E,Target_Child,E,45.920860797962995,male,,,,Eng-NA,21,332,23438,23438,42433
1836,17153466,lip,,lʲɪp,lɪp,declarative,eng,-2147483648,1,19,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1837,17153468,they're floating in circles,,dejə fwoʷɾɪn ɪn sɤkl̩ˠz̥,ðɛɹ floʊtɪŋ ɪn sʌɹkəlz,declarative,eng,-2147483648,4,14,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1838,17153469,they,,deɪ,ðeɪ,declarative,eng,-2147483648,1,11,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1839,17153471,alone,,aloʊn,əloʊn,declarative,eng,-2147483648,1,9,Inkelas,,CHI,E,Target_Child,E,45.920860797962995,male,,,,Eng-NA,21,332,23438,23438,42433
1840,17153473,forklifter,,fɔʷkwɪftə,fɔɹklɪftəɹ,declarative,eng,-2147483648,1,20,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1841,17153475,la,,lʲɑ,lɑ,declarative,eng,-2147483648,1,15,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1842,17153476,skeleton,,skɛwətən,skɛlətən,declarative,eng,-2147483648,1,10,Inkelas,,CHI,E,Target_Child,E,45.920860797962995,male,,,,Eng-NA,21,332,23438,23438,42433
1843,17153479,perfect,,pʊəfɪkt,pʌɹfɪkt,declarative,eng,-2147483648,1,12,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1844,17153480,laugh,,wæf,læf,declarative,eng,-2147483648,1,21,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1845,17153481,tortellini,,tɒɹtəjiːna,tɔɹtəliːniː,declarative,eng,-2147483648,1,22,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1846,17153484,feeling,,fijwɪn,fiːlɪŋ,declarative,eng,-2147483648,1,16,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1847,17153486,clock,,kʷɑk,klɑk,declarative,eng,-2147483648,1,13,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1848,17153488,padlock,,pædjɑk,pædlɑk,declarative,eng,-2147483648,1,23,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1849,17153489,woolen,,wʊwən,wʊlən,declarative,eng,-2147483648,1,17,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1850,17153493,one two three four,,wʌn tuʷ fʷij fɔə,wʌn tuː θɹiː fɔɹ,declarative,eng,-2147483648,4,14,Inkelas,,CHI,E,Target_Child,E,45.888005913879134,male,,,,Eng-NA,21,332,23438,23438,42432
1851,17153494,waterlily,,wɒtəɹjɪwiː,wɑtəɹlɪliː,declarative,eng,-2147483648,1,24,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1852,17153495,a long bath,,ə wɑŋ bæf,ə lɑŋ bæθ,declarative,eng,-2147483648,3,22,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1853,17153496,colored,,kʌwəd,kʌləɹd,declarative,eng,-2147483648,1,18,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1854,17153500,fly,,fwɑɪ,flaɪ,declarative,eng,-2147483648,1,19,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1855,17153501,splash,,splʲæʃ,splæʃ,declarative,eng,-2147483648,1,23,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1856,17153504,snowflakes,,snoʷfweɪks,snoʊfleɪks,declarative,eng,-2147483648,1,20,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1857,17153507,singalong,,sɪŋəjɒŋ,sɪŋəlɑŋ,declarative,eng,-2147483648,1,25,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1858,17153508,splash,,splʲæʃ,splæʃ,declarative,eng,-2147483648,1,24,Inkelas,,CHI,E,Target_Child,E,37.78927698720713,male,,,,Eng-NA,21,332,23438,23438,42425
1859,17153510,lashes,,wæʃəs,læʃəz,declarative,eng,-2147483648,1,21,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1860,17153514,hola,,ojɑː,ola,declarative,eng,-2147483648,1,26,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1861,17153516,simply,,sɪmpwi,sɪmpliː,declarative,eng,-2147483648,1,22,Inkelas,,CHI,E,Target_Child,E,40.32937021294072,male,,,,Eng-NA,21,332,23438,23438,42428
1862,17153520,hello,,həwoʊ,həloʊ,declarative,eng,-2147483648,1,27,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1863,17153525,along,,əjɒŋ,əlɑŋ,declarative,eng,-2147483648,1,28,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1864,17153530,alyssum,,æjɪsʌm,ælɪsəm,declarative,eng,-2147483648,1,29,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1865,17153533,Alison,,æwəsən,æləsən,declarative,eng,-2147483648,1,30,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1866,17153536,yelling,,jɛwɪŋ,jɛlɪŋ,declarative,eng,-2147483648,1,31,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1867,17153541,Emmeline,,ɛməwaɪn,ɛməlaɪn,declarative,eng,-2147483648,1,32,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1868,17153547,Prelutsky,,pɹəwʌtski,pɹəlʌtski,declarative,eng,-2147483648,1,33,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1869,17153552,Caroline,,kɛɹəjaɪn,kɛɹəlaɪn,declarative,eng,-2147483648,1,34,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1870,17153557,Lisa,,jiːsə,liːsə,declarative,eng,-2147483648,1,35,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1871,17153563,Elise,,əjiːs,əliːs,declarative,eng,-2147483648,1,36,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1872,17153566,Bandolier,,bændəjɪɹ,bændəlɪɹ,declarative,eng,-2147483648,1,37,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1873,17153570,Estalella,,ɛstjeɪ.jə,ɛstleɪ.jə,declarative,eng,-2147483648,1,38,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
1874,17153578,Livan,,jivɑn,liːvan,declarative,eng,-2147483648,1,39,Inkelas,,CHI,E,Target_Child,E,32.592045011191196,male,,,,Eng-NA,21,332,23438,23438,42424
